Total
19489,76918
13727,34598
13090,02968
10245,42017
9963,977739
9761,595792
9657,391429
9403,202773
9244,238178
8852,105968
8684,74047
7584,249768
7397,162727
7263,464063
7055,250946
7049,215474
6802,501323
6726,642793
6376,981361
6254,341742
5896,023326
5889,046644
5770,937918
5631,343567
5428,916772
5388,635097
5347,189515
5326,866239
5315,376864
5263,692495
5233,570891
5114,750543
5016,213313
4936,970444
4935,648734
4935,362518
4879,61961
4812,748708
4804,484269
4784,487495
4769,921533
4698,190573
4634,277637
4601,103245
4558,300674
4494,549867
4430,124824
4372,451051
4324,585341
4318,712429
4315,200745
4288,057095
4254,514802
4247,414468
4221,999902
4154,414574
4133,593383
4104,774511
4101,251125
4095,793817
4028,77437
4023,663642
4017,36764
4002,848325
3994,855392
3955,967283
3950,495209
3942,662138
3942,163146
3805,341615
3795,094799
3785,494989
3775,485147
3775,295815
3748,811673
3731,203955
3727,053304
3702,987886
3700,91745
3681,770464
3649,517094
3600,240864
3588,8738
3549,980183
3502,517147
3476,746046
3442,704588
3426,997523
3408,137373
3371,488188
3360,980024
3357,147963
3316,627275
3311,636927
3306,483659
3303,999778
3279,548876
3253,834699
3236,786183
3225,419951
3212,544736
3159,098893
3141,670577
3121,670862
3115,566934
3091,735437
3083,963638
3072,27836
3060,283126
3042,386532
3003,838832
2974,256541
2971,81468
2968,049591
2938,336005
2934,820449
2931,921383
2891,705483
2891,578051
2889,343549
2884,119958
2880,802214
2878,869342
2873,089505
2871,443278
2863,239018
2857,60539
2847,459687
2842,226708
2841,420981
2836,920994
2829,123642
2825,399549
2801,944096
2800,03043
2784,958647
2781,549274
2777,149492
2773,040744
2765,251136
2756,6759
2747,963896
2745,90003
2736,088204
2735,060004
2692,93688
2683,192066
2664,090972
2659,896472
2657,762062
2631,342769
2631,203495
2628,790179
2619,747995
2616,806203
2615,253166
2612,730063
2603,656925
2586,076891
2581,877739
2555,600758
2547,127181
2518,402358
2496,209508
2480,79876
2478,099695
2471,207443
2460,184635
2435,835831
2432,286467
2421,463996
2402,549292
2401,973336
2397,654056
2388,52749
2352,596429
2326,312093
2309,936132
2302,861085
2300,950823
2294,50553
2293,548043
2289,384233
2281,092103
2276,395018
2273,463927
2272,405339
2269,053594
2256,572665
2252,133915
2244,980819
2243,019774
2236,571454
2233,049317
2229,182689
2228,972102
2221,135914
2221,00679
2206,225853
2196,532294
2179,511004
2163,046501
2162,680079
2159,600991
2146,084521
2142,234351
2137,632787
2137,34296
2131,27574
2130,377081
2114,901775
2111,443184
2101,626494
2099,815429
2099,788428
2096,19934
2093,3271
2080,307804
2078,483698
2069,955082
2063,112113
2058,563478
2050,384234
2042,278864
2036,524854
2029,152017
2028,498592
2021,851348
2021,059702
2007,250601
2001,970527
2001,019293
1995,466877
1988,688049
1983,710334
1972,762562
1969,936866
1964,000995
1963,810359
1957,829877
1957,723444
1956,050882
1955,847307
1944,45837
1939,730105
1939,508839
1938,908204
1935,812264
1927,916698
1924,607721
1895,580964
1891,154601
1886,422088
1885,315923
1865,754928
1864,043768
1863,083978
1844,751958
1844,363207
1835,24202
1827,024574
1823,919118
1809,58288
1785,92727
1781,480777
1780,537254
1771,856608
1769,992561
1769,440742
1768,637051
1768,317636
1766,715922
1765,013292
1757,476599
1750,849808
1748,323978
1744,347265
1742,635312
1739,734331
1734,813072
1728,110429
1725,406387
1721,962271
1714,830756
1709,05961
1700,084087
1698,836459
1696,481859
1696,234143
1695,085461
1690,546162
1688,057181
1686,349272
1682,025664
1677,906238
1676,631715
1673,199295
1672,657849
1670,664662
1668,573952
1667,075295
1665,36352
1662,889682
1653,582724
1651,657575
1634,811444
1629,14696
1627,759378
1627,075595
1619,715672
1616,054429
1612,697117
1609,841829
1603,211661
1592,842854
1582,815945
1578,585672
1570,506028
1570,363695
1569,695354
1564,017009
1561,043482
1557,834995
1554,966076
1554,479487
1552,146798
1540,770207
1539,946921
1539,472451
1532,317212
1531,207313
1529,922497
1527,98797
1524,308184
1523,76107
1519,594829
1517,277931
1513,744241
1510,728982
1509,92229
1509,577851
1508,836761
1507,160108
1506,665135
1503,555476
1502,622555
1499,102525
1495,78182
1494,308351
1493,300183
1492,859546
1489,563501
1487,968362
1485,085657
1481,470568
1480,719324
1478,18414
1478,005582
1475,538557
1474,109317
1472,66978
1471,865963
1471,762218
1470,10163
1468,019427
1464,032444
1463,757073
1458,613335
1454,271868
1451,338828
1450,911695
1447,827502
1447,329365
1445,579757
1428,8927
1424,765681
1418,519744
1410,293698
1408,736158
1402,689564
1400,553598
1397,349875
1395,534086
1385,772193
1383,840675
1377,206249
1372,447562
1369,267691
1369,070189
1368,924213
1367,290784
1365,88771
1362,597464
1362,542739
1353,325604
1352,438717
1351,946202
1341,959513
1340,067549
1339,647614
1338,174276
1336,062327
1331,830201
1330,520313
1329,032076
1328,165262
1327,674807
1325,395469
1325,350714
1323,252695
1322,036706
1321,659449
1320,961616
1319,445376
1318,848059
1318,69501
1318,670887
1318,260713
1316,343088
1313,492375
1307,936808
1302,022058
1300,611329
1298,639657
1295,346995
1291,586217
1286,998924
1284,109287
1282,692559
1282,319735
1280,478472
1280,180185
1274,655254
1272,575752
1270,919874
1269,545767
1268,066585
1266,287788
1266,059325
1265,883416
1265,678909
1262,129508
1260,921327
1260,192159
1259,398739
1254,924992
1253,52518
1252,747781
1246,860075
1246,695189
1241,689047
1241,481362
1235,629424
1232,493035
1228,962951
1227,788713
1225,475074
1224,102237
1220,625921
1215,310897
1213,202793
1212,901774
1211,300517
1211,261013
1208,710429
1206,763274
